country,2020,2010,2000,1985,contraceptive_prevalence_pct,gdp_per_capita_usd,region
Nicaragua,77.9,97.8,168.8,269.9,72.0,2847.53966339498,
Niger,441.1,593.9,866.8,1128.7,18.0,722.748650326257,
Nigeria,1047.2,1122.7,1147.5,1283.0,15.0,806.945695055244,Africa
Norway,1.7,4.0,5.7,7.0,88.0,86809.7246897431,Europe
Oman,17.0,18.1,19.8,31.1,24.0,20248.4168124608,
Pakistan,154.2,230.5,387.4,368.1,27.0,1484.74985864775,
Palestine,20.4,43.4,62.0,110.3,50.0,2592.30591217647,
Panama,49.5,54.9,65.5,87.9,52.0,19102.8521936399,
Papua New Guinea,191.8,288.9,311.9,354.3,32.0,3076.48786186584,Oceania
Paraguay,71.1,100.5,148.5,251.9,79.0,6416.09709002917,
Peru,68.5,76.4,113.3,274.0,75.0,8452.37167047598,South America
Philippines,78.2,105.0,129.0,255.9,51.0,3984.8315387656,
Portugal,11.8,9.9,10.8,15.6,67.0,28844.4979246799,Europe
Romania,10.1,22.2,50.2,212.4,70.0,20072.4079244042,
Russia,13.7,17.2,52.3,106.8,80.0,14889.0185546875,Europe/Asia
Rwanda,258.9,385.8,1006.5,952.1,52.0,999.654561402699,
Saint Vincent and the Grenadines,61.8,44.6,76.4,77.8,48.0,11501.2265187188,
Samoa,59.1,61.6,74.5,116.4,29.0,4898.77140817676,
São Tomé and Príncipe,146.2,160.2,179.5,257.0,38.0,3244.82899741459,
Saudi Arabia,16.2,15.3,21.5,35.8,24.0,35057.2252306969,Asia
Senegal,260.9,450.1,638.4,760.0,13.0,1743.98888384359,
Serbia,10.2,14.2,17.8,16.9,61.0,13523.7246826854,
Sierra Leone,442.8,837.4,1682.4,1427.5,11.0,873.388575182318,
Solomon Islands,122.2,147.1,150.1,179.2,35.0,2149.37957267304,
Somalia,620.7,963.2,1096.9,1199.0,15.0,636.983477589273,Africa
South Africa,126.8,219.1,173.0,168.0,60.0,6253.37158194543,Africa
South Korea,8.1,8.2,15.5,39.3,80.0,33121.3712885508,Asia
South Sudan,1222.5,1059.8,1686.6,3291.8,4.0,1080.14718624765,
Spain,3.4,3.9,5.0,5.9,66.0,35297.0094995565,Europe
Sri Lanka,28.8,37.3,61.1,69.8,68.0,4515.56787322732,
Sudan,270.4,383.4,642.2,1165.5,9.0,989.312866210938,
Suriname,96.5,138.3,278.2,415.5,46.0,7430.70219176443,
Syria,29.9,21.3,33.7,55.6,54.0,847.372723418531,
Tajikistan,16.6,31.9,67.5,113.6,37.0,1341.20229027672,
Tanzania,238.3,485.9,760.1,843.9,34.0,1185.74548339844,
Thailand,28.6,35.3,48.2,77.6,80.0,7345.13569000377,Asia
Togo,399.0,530.3,479.3,680.0,15.0,1043.14092889765,
Tonga,125.6,93.2,94.1,129.0,32.0,4863.76384632192,
Trinidad and Tobago,26.6,46.8,73.9,108.9,43.0,19314.7163432664,
Tunisia,36.6,43.9,61.5,124.7,60.0,4350.3717971875,
Turkey,17.3,22.1,31.7,53.2,73.0,15473.2872636856,Asia/Europe
Turkmenistan,5.1,8.8,26.1,94.0,48.0,8571.60702949432,
Uganda,284.1,372.0,461.5,757.2,30.0,1072.71369837695,
Ukraine,16.5,16.9,35.8,66.2,67.0,5389.47314453125,
United Kingdom,9.8,9.5,11.0,8.4,84.0,52636.7865943853,Europe
United States,21.1,14.1,11.8,10.7,79.0,85809.9003846356,North America
Uruguay,18.6,17.8,26.6,48.6,78.0,23906.5133029408,
Uzbekistan,30.2,37.8,42.6,92.9,65.0,3161.70010632875,
Vanuatu,94.4,93.1,108.7,161.1,38.0,3542.81071592874,
Vietnam,45.5,60.0,88.5,143.2,78.0,4717.29028732449,Asia
World,223.5,253.8,339.0,441.3,55.0,13663.9924550685,
Yemen,183.4,156.6,275.0,466.1,28.0,633.887202450998,Asia
Zambia,134.7,268.5,418.7,555.4,41.0,1235.08466482514,
Zimbabwe,356.8,618.3,387.8,431.5,59.0,2656.40937654332,
