Panama,49.5,54.9,65.5,87.9
Papua New Guinea,191.8,288.9,311.9,354.3
Paraguay,71.1,100.5,148.5,251.9
Peru,68.5,76.4,113.3,274.0
Philippines,78.2,105.0,129.0,255.9
Poland,2.0,2.5,7.8,17.5
Portugal,11.8,9.9,10.8,15.6
Puerto Rico,34.3,21.2,21.9,31.8
Qatar,7.6,10.1,28.1,23.9
Romania,10.1,22.2,50.2,212.4
Russia,13.7,17.2,52.3,106.8
Rwanda,258.9,385.8,1006.5,952.1
Saint Lucia,73.3,73.3,86.7,48.6
Saint Vincent and the Grenadines,61.8,44.6,76.4,77.8
Samoa,59.1,61.6,74.5,116.4
São Tomé and Príncipe,146.2,160.2,179.5,257.0
Saudi Arabia,16.2,15.3,21.5,35.8
Senegal,260.9,450.1,638.4,760.0
Serbia,10.2,14.2,17.8,16.9
Seychelles,3.3,8.2,44.3,56.8
Sierra Leone,442.8,837.4,1682.4,1427.5
Singapore,7.5,8.3,15.1,17.7
Slovakia,4.8,5.1,8.6,9.8
Slovenia,4.5,6.0,11.9,16.0
Solomon Islands,122.2,147.1,150.1,179.2
Somalia,620.7,963.2,1096.9,1199.0
South Africa,126.8,219.1,173.0,168.0
South Korea,8.1,8.2,15.5,39.3
South Sudan,1222.5,1059.8,1686.6,3291.8
Spain,3.4,3.9,5.0,5.9
Sri Lanka,28.8,37.3,61.1,69.8
Sudan,270.4,383.4,642.2,1165.5
Suriname,96.5,138.3,278.2,415.5
Sweden,4.5,4.5,6.1,7.2
Switzerland,7.4,8.1,7.9,9.7
Syria,29.9,21.3,33.7,55.6
Tajikistan,16.6,31.9,67.5,113.6
Tanzania,238.3,485.9,760.1,843.9
Thailand,28.6,35.3,48.2,77.6
Togo,399.0,530.3,479.3,680.0
Tonga,125.6,93.2,94.1,129.0
Trinidad and Tobago,26.6,46.8,73.9,108.9
Tunisia,36.6,43.9,61.5,124.7
Turkey,17.3,22.1,31.7,53.2
Turkmenistan,5.1,8.8,26.1,94.0
Uganda,284.1,372.0,461.5,757.2
Ukraine,16.5,16.9,35.8,66.2
United Arab Emirates,9.3,9.2,21.8,21.6
United Kingdom,9.8,9.5,11.0,8.4
United States,21.1,14.1,11.8,10.7
Uruguay,18.6,17.8,26.6,48.6
Uzbekistan,30.2,37.8,42.6,92.9
Vanuatu,94.4,93.1,108.7,161.1
Venezuela,259.2,112.2,92.4,105.4
Vietnam,45.5,60.0,88.5,143.2
World,223.5,253.8,339.0,441.3
Yemen,183.4,156.6,275.0,466.1
Zambia,134.7,268.5,418.7,555.4
Zimbabwe,356.8,618.3,387.8,431.5
